"project","regiocode","regio","locationcode","gebied","teldatum","surveyseason","telling","opmerking","teller","euringcode","soort","aantal","tellingstatus","locationid","surveyid","taxonid"
"SLAAL","21","Maasvallei",5211901,"Hochter Bampd (Smeermaas)  NEERHAREN-LANAKEN","2011-01-17","2010-11","Januaritelling","","Michel Talaska",720,"Aalscholver",74,"CHECKED",1192,3,164
"SLAAL","21","Maasvallei",5211901,"Hochter Bampd (Smeermaas)  NEERHAREN-LANAKEN","2011-01-17","2010-11","Januaritelling","","Michel Talaska",720,"Aalscholver",74,"NEW",1192,3,164
"SLAAL","23","Oost-Brabant",4231301,"Gempvijvers ST. JORIS-WINGE","2009-11-14","2009-10","Novembertelling","Slaapplaatstelling. Nog niet echt donker bij vertrek maar de overgrote meerderheid leek gearriveerd.","Niels Ryckeboer",720,"Aalscholver",34,"CHECKED",1260,3,164
"SLAAL","23","Oost-Brabant",4231301,"Gempvijvers ST. JORIS-WINGE","2009-11-14","2009-10","Novembertelling","","Niels Ryckeboer",720,"Aalscholver",34,"NEW",1260,3,164
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5820,"Kokmeeuw",81000,"CHECKED",1777,5,139
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5820,"Kokmeeuw",81000,"NEW",1777,5,139
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5900,"Stormmeeuw",14000,"CHECKED",1777,5,127
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5900,"Stormmeeuw",14000,"NEW",1777,5,127
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5910,"Kleine Mantelmeeuw",4,"CHECKED",1777,5,129
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5910,"Kleine Mantelmeeuw",4,"NEW",1777,5,129
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5920,"Zilvermeeuw",60,"CHECKED",1777,5,124
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",5920,"Zilvermeeuw",60,"NEW",1777,5,124
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",6000,"Grote Mantelmeeuw",2,"CHECKED",1777,5,133
"SLMEE","5a","Gent en Kanaalzone",2051001,"Spaarbekkens KLUIZEN","2003-01-25","2002-03","Januaritelling","","Luc Bekaert",6000,"Grote Mantelmeeuw",2,"NEW",1777,5,133
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5820,"Kokmeeuw",2400,"CHECKED",2017,5,139
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5820,"Kokmeeuw",2400,"CHECKED",2017,5,139
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5900,"Stormmeeuw",1100,"CHECKED",2017,5,127
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5900,"Stormmeeuw",1100,"CHECKED",2017,5,127
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5910,"Kleine Mantelmeeuw",1,"CHECKED",2017,5,129
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5910,"Kleine Mantelmeeuw",1,"CHECKED",2017,5,129
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5920,"Zilvermeeuw",22,"CHECKED",2017,5,124
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5920,"Zilvermeeuw",22,"CHECKED",2017,5,124
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5926,"Geelpootmeeuw",1,"CHECKED",2017,5,135
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5926,"Geelpootmeeuw",1,"CHECKED",2017,5,135
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","slaapplaats","Davy De Groote",5927,"Pontische Meeuw",2,"CHECKED",2017,5,126
"SLMEE","6b","Schelde-Leie (6b)",2061202,"Donkvijver OUDENAARDE","2013-01-19","2012-13","Januaritelling","","Davy De Groote",5927,"Pontische Meeuw",2,"CHECKED",2017,5,126
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",720,"Aalscholver",36,"CHECKED",2250,8,164
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",720,"Aalscholver",54,"CHECKED",2250,8,164
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",1730,"Bergeend",41,"CHECKED",2250,8,208
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",1730,"Bergeend",789,"CHECKED",2250,8,208
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",4500,"Scholekster",10,"CHECKED",2250,8,121
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",4500,"Scholekster",126,"CHECKED",2250,8,121
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",4560,"Kluut",3,"CHECKED",2250,8,187
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",4560,"Kluut",170,"CHECKED",2250,8,187
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",5410,"Wulp",4,"CHECKED",2250,8,156
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",5410,"Wulp",157,"CHECKED",2250,8,156
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",5820,"Kokmeeuw",92,"CHECKED",2250,8,139
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",5820,"Kokmeeuw",3,"CHECKED",2250,8,139
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",5910,"Kleine Mantelmeeuw",1,"CHECKED",2250,8,129
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",5910,"Kleine Mantelmeeuw",1,"CHECKED",2250,8,129
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","","INBO Instituut voor Natuur- en Bosonderzoek",5920,"Zilvermeeuw",62,"CHECKED",2250,8,124
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2003-07-15","2003-04","1","Landtelling","Frank Wagemans",5920,"Zilvermeeuw",1,"CHECKED",2250,8,124
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2007-08-11","2007-08","2","Landtelling","Frank Wagemans",1730,"Bergeend",15,"CHECKED",2250,8,208
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2007-08-11","2007-08","2","Landtelling","Frank Wagemans",1730,"Bergeend",18,"CHECKED",2250,8,208
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2007-08-11","2007-08","2","Landtelling","Frank Wagemans",5410,"Wulp",85,"CHECKED",2250,8,156
"ZSCH","15","Antwerpen",3153801,"Groot Buitenschoor (Schelde Containerkaai - grens)  (RO)","2007-08-11","2007-08","2","Landtelling","Frank Wagemans",5410,"Wulp",36,"CHECKED",2250,8,156
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","","INBO Instituut voor Natuur- en Bosonderzoek",1730,"Bergeend",6,"CHECKED",2249,8,208
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","Landtelling - ","Kenny Hessel",1730,"Bergeend",17,"CHECKED",2249,8,208
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","","INBO Instituut voor Natuur- en Bosonderzoek",4500,"Scholekster",14,"CHECKED",2249,8,121
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","Landtelling - ","Kenny Hessel",4500,"Scholekster",8,"CHECKED",2249,8,121
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","","INBO Instituut voor Natuur- en Bosonderzoek",4560,"Kluut",93,"CHECKED",2249,8,187
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","Landtelling - ","Kenny Hessel",4560,"Kluut",67,"CHECKED",2249,8,187
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","","INBO Instituut voor Natuur- en Bosonderzoek",4930,"Kievit",89,"CHECKED",2249,8,222
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","Landtelling - ","Kenny Hessel",4930,"Kievit",240,"CHECKED",2249,8,222
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","","INBO Instituut voor Natuur- en Bosonderzoek",5410,"Wulp",90,"CHECKED",2249,8,156
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-09-14","2015-16","3","Landtelling - ","Kenny Hessel",5410,"Wulp",122,"CHECKED",2249,8,156
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","","INBO Instituut voor Natuur- en Bosonderzoek",1440,"Lepelaar",1,"CHECKED",2249,8,172
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","Landtelling - ","Kenny Hessel",1440,"Lepelaar",1,"CHECKED",2249,8,172
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","","INBO Instituut voor Natuur- en Bosonderzoek",1730,"Bergeend",3,"CHECKED",2249,8,208
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","Landtelling - ","Kenny Hessel",1730,"Bergeend",20,"CHECKED",2249,8,208
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","","INBO Instituut voor Natuur- en Bosonderzoek",4500,"Scholekster",9,"CHECKED",2249,8,121
"ZSCH","15","Antwerpen",3153308,"Schelde grens - Kerncentrale Doel (Schor Ouden Doel, Paardeschor) (LO)","2015-08-17","2015-16","2","Landtelling - ","Kenny Hessel",4500,"Scholekster",6,"CHECKED",2249,8,121
